event_start_time,event_slug,event_title,poly_team1,poly_team2,team1_code,team2_code,elo_match_date,team1_elo_pre,team2_elo_pre,team1_goals,team2_goals,score_source,polymarket_team1_win_price,polymarket_draw_price,polymarket_team2_win_price,elo_team1_win_prob,elo_draw_prob,elo_team2_win_prob,elo_source
2026-06-19T19:00:00Z,fifwc-usa-aus-2026-06-19,United States vs. Australia,United States,Australia,US,AU,2026-06-19 00:00:00+00:00,1780.0,1838.0,2,0,polymarket_event_score,0.6035555555555555,0.21749999999999997,0.18073611111111118,0.30161790420318263,0.27721239723949287,0.42116969855732456,2026_results.tsv
2026-06-19T22:00:00Z,fifwc-sco-mar-2026-06-19,Scotland vs. Morocco,Scotland,Morocco,SQ,MA,2026-06-19 00:00:00+00:00,1794.0,1840.0,0,1,polymarket_event_score,0.15499999999999997,0.265,0.5858333333333334,0.31337653878772426,0.2782415667177457,0.40838189449453005,2026_results.tsv
2026-06-20T00:30:00Z,fifwc-bra-hai-2026-06-19,Brazil vs. Haiti,Brazil,Haiti,BR,HT,2026-06-19 00:00:00+00:00,1978.0,1536.0,3,0,polymarket_event_score,0.8848888888888888,0.07760694444444441,0.0418638888888889,0.771323494713219,0.16810943590070174,0.060567069386079225,2026_results.tsv
2026-06-20T03:00:00Z,fifwc-tur-par-2026-06-19,Türkiye vs. Paraguay,Türkiye,Paraguay,TR,PY,2026-06-19 00:00:00+00:00,1849.0,1780.0,0,1,polymarket_event_score,0.4700833333333332,0.28530555555555565,0.2425277777777778,0.432921737118608,0.2760672715256727,0.29101099135571934,2026_results.tsv
2026-06-20T17:00:00Z,fifwc-nld-swe-2026-06-20,Netherlands vs. Sweden,Netherlands,Sweden,NL,SE,2026-06-20 00:00:00+00:00,1944.0,1755.0,5,1,polymarket_event_score,0.5686111111111111,0.235,0.19969444444444456,0.5591762447406826,0.2524377169449096,0.18838603831440778,2026_results.tsv
2026-06-20T20:00:00Z,fifwc-ger-civ-2026-06-20,Germany vs. Côte d'Ivoire,Germany,Côte d'Ivoire,DE,CI,2026-06-20 00:00:00+00:00,1939.0,1743.0,2,1,polymarket_event_score,0.6645000000000001,0.19980555555555557,0.14233333333333326,0.566240249420927,0.2505279975682105,0.18323175301086247,2026_results.tsv
2026-06-21T00:00:00Z,fifwc-ecu-kor-2026-06-20,Ecuador vs. Curaçao,Ecuador,Curaçao,EC,CW,2026-06-20 00:00:00+00:00,1890.0,1427.0,0,0,polymarket_event_score,0.8468611111111111,0.10286111111111126,0.05105833333333332,0.7844684280538152,0.16094630110472466,0.05458527084146012,2026_results.tsv
2026-06-21T04:00:00Z,fifwc-tun-jpn-2026-06-21,Tunisia vs. Japan,Tunisia,Japan,TN,JP,2026-06-20 00:00:00+00:00,1585.0,1910.0,0,4,polymarket_event_score,0.11666666666666668,0.21116666666666664,0.67675,0.10553170946218243,0.2091647538020296,0.6853035367357879,2026_results.tsv (nearest_date_fallback)
2026-06-21T16:00:00Z,fifwc-esp-ksa-2026-06-21,Spain vs. Saudi Arabia,Spain,Saudi Arabia,ES,SA,2026-06-21 00:00:00+00:00,2129.0,1598.0,4,0,polymarket_event_score,0.8903333333333333,0.07499999999999997,0.03713472222222218,0.8225444089132117,0.13876018981331625,0.03869540127347202,2026_results.tsv
2026-06-21T19:00:00Z,fifwc-bel-irn-2026-06-21,Belgium vs. IR Iran,Belgium,IR Iran,BE,IR,2026-06-21 00:00:00+00:00,1879.0,1756.0,0,0,polymarket_event_score,0.6912777777777779,0.19566666666666674,0.11663888888888892,0.49055754336100593,0.2677906990013773,0.2416517576376167,2026_results.tsv
2026-06-21T22:00:00Z,fifwc-ury-cvi-2026-06-21,Uruguay vs. Cabo Verde,Uruguay,Cabo Verde,UY,CV,2026-06-21 00:00:00+00:00,1870.0,1606.0,2,2,polymarket_event_score,0.6886666666666668,0.2180555555555555,0.09883333333333338,0.6318835174158978,0.22987543156322632,0.13824105102087594,2026_results.tsv
2026-06-22T01:00:00Z,fifwc-nzl-egy-2026-06-21,New Zealand vs. Egypt,New Zealand,Egypt,NZ,EG,2026-06-21 00:00:00+00:00,1578.0,1711.0,1,3,polymarket_event_score,0.1560277777777777,0.23533333333333334,0.6132222222222223,0.23305505771703028,0.26580556113012593,0.5011393811528437,2026_results.tsv
