event_start_time,event_title,outcome,selection,price,won,net_payout_per_dollar,price_bucket
2026-06-20T00:30:00Z,Brazil vs. Haiti,draw,Draw,0.07760694444444441,False,-1.0,0-9c
2026-06-20T00:30:00Z,Brazil vs. Haiti,team2_win,Haiti,0.0418638888888889,False,-1.0,0-9c
2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team1_win,Türkiye,0.4700833333333332,False,-1.0,40-49c
2026-06-20T03:00:00Z,Türkiye vs. Paraguay,draw,Draw,0.28530555555555565,False,-1.0,20-29c
2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team2_win,Paraguay,0.2425277777777778,True,3.123239033329515,20-29c
2026-06-20T17:00:00Z,Netherlands vs. Sweden,team1_win,Netherlands,0.5686111111111111,True,0.7586712261846607,50-59c
2026-06-20T17:00:00Z,Netherlands vs. Sweden,draw,Draw,0.235,False,-1.0,20-29c
2026-06-20T17:00:00Z,Netherlands vs. Sweden,team2_win,Sweden,0.19969444444444456,False,-1.0,10-19c
2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team1_win,Germany,0.6645000000000001,True,0.5048908954100826,60-69c
2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,draw,Draw,0.19980555555555557,False,-1.0,10-19c
2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team2_win,Côte d'Ivoire,0.14233333333333326,False,-1.0,10-19c
2026-06-21T00:00:00Z,Ecuador vs. Curaçao,team1_win,Ecuador,0.8468611111111111,False,-1.0,80-89c
2026-06-21T00:00:00Z,Ecuador vs. Curaçao,draw,Draw,0.10286111111111126,True,8.721847150958668,10-19c
2026-06-21T00:00:00Z,Ecuador vs. Curaçao,team2_win,Curaçao,0.05105833333333332,False,-1.0,0-9c
2026-06-21T04:00:00Z,Tunisia vs. Japan,team1_win,Tunisia,0.11666666666666668,False,-1.0,10-19c
2026-06-21T04:00:00Z,Tunisia vs. Japan,draw,Draw,0.21116666666666664,False,-1.0,20-29c
2026-06-21T04:00:00Z,Tunisia vs. Japan,team2_win,Japan,0.67675,True,0.47765053564831916,60-69c
2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team1_win,Spain,0.8903333333333333,True,0.12317484088356423,80-89c
2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,draw,Draw,0.07499999999999997,False,-1.0,0-9c
2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team2_win,Saudi Arabia,0.03713472222222218,False,-1.0,0-9c
2026-06-21T19:00:00Z,Belgium vs. IR Iran,team1_win,Belgium,0.6912777777777779,False,-1.0,60-69c
2026-06-21T19:00:00Z,Belgium vs. IR Iran,draw,Draw,0.19566666666666674,True,4.110732538330492,10-19c
2026-06-21T19:00:00Z,Belgium vs. IR Iran,team2_win,IR Iran,0.11663888888888892,False,-1.0,10-19c
2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,team1_win,Uruguay,0.6886666666666668,False,-1.0,60-69c
2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,draw,Draw,0.2180555555555555,True,3.5859872611464976,20-29c
2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,team2_win,Cabo Verde,0.09883333333333338,False,-1.0,0-9c
2026-06-22T01:00:00Z,New Zealand vs. Egypt,team1_win,New Zealand,0.1560277777777777,False,-1.0,10-19c
2026-06-22T01:00:00Z,New Zealand vs. Egypt,draw,Draw,0.23533333333333334,False,-1.0,20-29c
2026-06-22T01:00:00Z,New Zealand vs. Egypt,team2_win,Egypt,0.6132222222222223,True,0.6307302047472365,60-69c
2026-06-22T17:00:00Z,Argentina vs. Austria,team1_win,Argentina,0.675611111111111,True,0.4801414357371927,60-69c
2026-06-22T17:00:00Z,Argentina vs. Austria,draw,Draw,0.21444444444444447,False,-1.0,20-29c
2026-06-22T17:00:00Z,Argentina vs. Austria,team2_win,Austria,0.11366666666666679,False,-1.0,10-19c
2026-06-22T21:00:00Z,France vs. Iraq,team1_win,France,0.9068888888888889,True,0.10267091399166883,90-99c
2026-06-22T21:00:00Z,France vs. Iraq,draw,Draw,0.0726666666666666,False,-1.0,0-9c
2026-06-22T21:00:00Z,France vs. Iraq,team2_win,Iraq,0.025494444444444465,False,-1.0,0-9c
2026-06-23T00:00:00Z,Norway vs. Senegal,team1_win,Norway,0.4140555555555555,True,1.415134845028848,40-49c
2026-06-23T00:00:00Z,Norway vs. Senegal,draw,Draw,0.28338888888888897,False,-1.0,20-29c
2026-06-23T00:00:00Z,Norway vs. Senegal,team2_win,Senegal,0.3076666666666666,False,-1.0,30-39c
