match_number,Draw every match,NO Elo underdog,NO Polymarket favorite,NO Polymarket underdog,NO draw every match,NO low-prob overpriced,NO lowest Elo probability,NO most overpriced outcome,NO overpriced draw,YES Elo favorite,YES Elo underdog,YES Polymarket favorite,YES Polymarket underdog,YES draw positive edge,YES favorite positive edge,"YES max edge, prob floor",YES max positive edge
11,790.9272001203356,-255.16768404391448,758.1884143328871,-124.07666933896033,-171.36274083861403,-100.0,-389.80435437943373,-200.0,38.27050800418827,-581.680583975826,671.9838031169124,-364.55151280574154,454.854731946828,473.86070507308716,-300.0,-300.0,389.39879973931903
12,690.9272001203356,-229.0289314160238,658.1884143328871,-97.93791671106966,-131.55148603260216,-100.0,-349.9930995734219,-200.0,38.27050800418827,-486.20900880071605,571.9838031169124,-269.07993763063155,354.854731946828,473.86070507308716,-300.0,-400.0,289.39879973931903
13,2281.0680451907574,-226.44466271362933,1765.4318750974749,-95.35364800867518,-231.55148603260216,-100.0,-347.40883087102736,-200.0,38.27050800418827,-586.2090088007161,471.98380311691244,-369.07993763063155,254.85473194682797,2064.001550143509,-300.0,-400.0,1879.539644809741
14,2610.559813265203,-208.65132458130816,1930.7229583693984,-77.56030987635401,-331.55148603260216,-100.0,-329.6154927387062,-200.0,38.27050800418827,-686.2090088007161,371.98380311691244,-469.07993763063155,154.85473194682797,2064.001550143509,-300.0,-400.0,1779.539644809741
15,2970.5061528589167,-195.6392385665538,2136.4554424458315,-64.54822386159964,-431.55148603260216,-100.0,-316.6034067239518,-200.0,38.27050800418827,-786.2090088007161,271.98380311691244,-569.0799376306315,54.85473194682797,2064.001550143509,-300.0,-400.0,1679.539644809741
16,3232.9709132294365,-172.42751976307645,2254.6108175518793,-41.3365050581223,-531.5514860326022,-100.0,-293.3916879204745,-200.0,-61.72949199581173,-886.2090088007161,171.98380311691247,-669.0799376306315,-45.14526805317203,2064.001550143509,-400.0,-500.0,1579.539644809741
17,3132.9709132294365,-157.79244142910628,2154.6108175518793,-26.701426724152125,-504.162951000755,-100.0,-278.75660958650434,-200.0,-61.72949199581173,-836.0713826434052,71.98380311691247,-618.9423114733207,-145.14526805317203,1964.0015501435091,-400.0,-500.0,1479.539644809741
18,3032.9709132294365,-257.79244142910625,2563.87662601135,-126.70142672415213,-488.5003003983454,-100.0,-378.75660958650434,-200.0,-61.72949199581173,-936.0713826434052,1510.4453415784553,-718.9423114733207,1293.3162704083709,1864.0015501435091,-400.0,-500.0,1379.539644809741
19,2932.9709132294365,-244.38161069477115,2463.87662601135,-113.29059598981699,-461.76651176214176,-100.0,-365.3457788521692,-200.0,-61.72949199581173,-886.8609544923711,1410.4453415784553,-669.7318833222866,1193.3162704083709,1864.0015501435091,-350.78957184896586,-500.0,1428.7500729607752
20,2832.9709132294365,-232.5664783801979,2363.87662601135,-101.47546367524374,-438.2758421682889,-100.0,-353.53064653759594,-200.0,-61.72949199581173,-844.905118530226,1310.4453415784553,-627.7760473601414,1093.3162704083709,1764.0015501435091,-350.78957184896586,-600.0,1328.7500729607752
21,3330.7789504263806,-224.4583702720898,2687.954844882831,-93.36735556713566,-538.2758421682888,-100.0,-345.4225384294879,-200.0,-61.72949199581173,-944.905118530226,1210.4453415784553,-727.7760473601414,993.3162704083709,2261.8095873404536,-350.78957184896586,-600.0,1826.5581101577195
22,3230.7789504263806,-203.47030104002795,2587.954844882831,-72.3792863350738,-504.2774799260496,-100.0,-324.434469197426,-200.0,-61.72949199581173,-871.4027810681796,1110.4453415784553,-654.2737098980951,893.3162704083709,2261.8095873404536,-350.78957184896586,-700.0,1726.5581101577195
23,3130.7789504263806,-303.47030104002795,2487.954844882831,-31.04762804361652,-461.1533992994842,-200.0,-424.434469197426,-300.0,-18.60541136924632,-971.4027810681796,1256.7844684431057,-507.9345830334449,793.3162704083709,2261.8095873404536,-450.78957184896586,-800.0,1626.5581101577195
24,3030.7789504263806,-403.47030104002795,2732.4194894144543,-131.04762804361653,-436.93408319583006,-200.0,-524.434469197426,-300.0,-18.60541136924632,-1071.4027810681796,2226.9390463265777,-607.9345830334448,1763.470848291843,2161.8095873404536,-450.78957184896586,-800.0,2596.7126880411915
25,3305.310785632373,-377.7719770176816,2843.575568949911,-105.34930402127014,-536.93408319583,-200.0,-498.7361451750796,-300.0,-18.60541136924632,-1171.4027810681796,2126.9390463265777,-707.9345830334448,1663.470848291843,2161.8095873404536,-550.7895718489658,-900.0,2496.7126880411915
26,3205.310785632373,-360.63023551045785,2743.575568949911,-88.20756251404643,-506.2293669339849,-200.0,-481.59440366785594,-300.0,-18.60541136924632,-1111.4027810681796,2026.9390463265777,-647.9345830334448,1563.470848291843,2161.8095873404536,-550.7895718489658,-900.0,2396.7126880411915
27,3105.310785632373,-351.483099106856,2643.575568949911,-79.06042611044458,-485.60614696414075,-200.0,-472.44726726425404,-300.0,-18.60541136924632,-1077.8617171910373,1926.9390463265777,-614.3935191563027,1463.470848291843,2061.8095873404536,-550.7895718489658,-900.0,2296.7126880411915
28,3005.310785632373,-320.45489164552754,2543.575568949911,-48.032218649116096,-443.5634947121728,-200.0,-441.4190598029256,-300.0,23.43724088272159,-966.0160114800302,1826.9390463265777,-502.54781344529556,1363.470848291843,2061.8095873404536,-550.7895718489658,-900.0,2196.7126880411915
29,2905.310785632373,-420.4548916455275,2443.575568949911,-25.971425593018978,-415.76796755562333,-200.0,-413.6235326463761,-400.0,23.43724088272159,-1066.01601148003,1892.6238769598617,-436.8629828120113,1263.470848291843,1961.8095873404534,-650.7895718489658,-1000.0,2096.7126880411915
30,2805.310785632373,-520.4548916455275,2585.024261102829,-125.97142559301898,-379.7135457869158,-200.0,-377.5691108776686,-400.0,23.43724088272159,-1166.01601148003,2437.7851672824427,-536.8629828120113,1808.6321386144236,1961.8095873404534,-650.7895718489658,-454.8387096774193,2641.873978363772
