event_start_time,event_slug,event_title,poly_team1,poly_team2,team1_code,team2_code,elo_match_date,team1_elo_pre,team2_elo_pre,team1_goals,team2_goals,score_source,polymarket_team1_win_price,polymarket_draw_price,polymarket_team2_win_price,elo_team1_win_prob,elo_draw_prob,elo_team2_win_prob,elo_source,round,match_date,venue_code,is_upcoming,team1_form,team2_form,team1_recent_matches,team2_recent_matches,went_to_penalties,advance_winner,team1_pen_goals,team2_pen_goals,fifa_match_no,bracket_side,bracket_slot,is_next_up
2026-07-03T03:00:00Z,fifwc-che-alg-2026-07-02,Switzerland vs. Algeria,Switzerland,Algeria,CH,DZ,2026-07-02 00:00:00+00:00,1914.0,1785.0,2.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.4969124288710143,0.26661549760081543,0.23647207352817032,2026_results.tsv,Round of 32,2026-07-02,CA,False,D-W-W-W-D,L-D-W-L,D 0-0 vs Colombia (Jul 07) | W 2-0 vs Algeria (Jul 02) | W 2-1 vs Canada (Jun 24) | W 4-1 vs Bosnia and Herzegovina (Jun 18) | D 1-1 vs Qatar (Jun 13),L 0-2 vs Switzerland (Jul 02) | D 3-3 vs Austria (Jun 27) | W 2-1 vs Jordan (Jun 22) | L 0-3 vs Argentina (Jun 16),False,,,,85,right,7,False
2026-07-02T19:00:00Z,fifwc-esp-aut-2026-07-02,Spain vs. Austria,Spain,Austria,ES,AT,2026-07-02 00:00:00+00:00,2144.0,1836.0,3.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.6709857311960399,0.21506454291435245,0.11394972588960758,2026_results.tsv,Round of 32,2026-07-02,US,False,W-W-W-W-D,L-D-L-W,W 1-0 vs Portugal (Jul 06) | W 3-0 vs Austria (Jul 02) | W 1-0 vs Uruguay (Jun 26) | W 4-0 vs Saudi Arabia (Jun 21) | D 0-0 vs Cape Verde (Jun 15),L 0-3 vs Spain (Jul 02) | D 3-3 vs Algeria (Jun 27) | L 0-2 vs Argentina (Jun 22) | W 3-1 vs Jordan (Jun 16),False,,,,84,left,6,False
2026-07-02T23:00:00Z,fifwc-prt-hrv-2026-07-02,Portugal vs. Croatia,Portugal,Croatia,PT,HR,2026-07-02 00:00:00+00:00,1990.0,1904.0,2.0,1.0,polymarket_event_score,1.0,0.0,0.0,0.451106764369548,0.2739270181525855,0.2749662174778665,2026_results.tsv,Round of 32,2026-07-02,CA,False,L-W-D-W-D,L-W-W-L,L 0-1 vs Spain (Jul 06) | W 2-1 vs Croatia (Jul 02) | D 0-0 vs Colombia (Jun 27) | W 5-0 vs Uzbekistan (Jun 23) | D 1-1 vs DR Congo (Jun 17),L 1-2 vs Portugal (Jul 02) | W 2-1 vs Ghana (Jun 27) | W 1-0 vs Panama (Jun 23) | L 2-4 vs England (Jun 17),False,,,,83,left,5,False
2026-07-03T22:00:00Z,fifwc-arg-cvi-2026-07-03,Argentina vs. Cabo Verde,Argentina,Cabo Verde,AR,CV,2026-07-03 00:00:00+00:00,2148.0,1622.0,3.0,2.0,polymarket_event_score,0.0,1.0,0.0,0.8199686545472261,0.14033072897108595,0.03970061648168786,2026_results.tsv,Round of 32,2026-07-03,US,False,W-W-W-W-W,L-D-D-D,W 3-2 vs Egypt (Jul 07) | W 3-2 vs Cape Verde (Jul 03) | W 3-1 vs Jordan (Jun 27) | W 2-0 vs Austria (Jun 22) | W 3-0 vs Algeria (Jun 16),L 2-3 vs Argentina (Jul 03) | D 0-0 vs Saudi Arabia (Jun 26) | D 2-2 vs Uruguay (Jun 21) | D 0-0 vs Spain (Jun 15),False,,,,86,right,5,False
2026-07-03T18:00:00Z,fifwc-aus-egy-2026-07-03,Australia vs. Egypt,Australia,Egypt,AU,EG,2026-07-03 00:00:00+00:00,1800.0,1742.0,1.0,1.0,polymarket_event_score,0.0,1.0,0.0,0.4211696985573245,0.2772123972394928,0.30161790420318263,2026_results.tsv,Round of 32,2026-07-03,US,False,D-D-L-W,L-D-D-W-D,D 1-1 vs Egypt (Jul 03) | D 0-0 vs Paraguay (Jun 25) | L 0-2 vs United States (Jun 19) | W 2-0 vs Turkey (Jun 13),L 2-3 vs Argentina (Jul 07) | D 1-1 vs Australia (Jul 03) | D 1-1 vs Iran (Jun 26) | W 3-1 vs New Zealand (Jun 21) | D 1-1 vs Belgium (Jun 15),True,team2,2.0,4.0,88,right,6,False
2026-07-04T01:30:00Z,fifwc-col-gha-2026-07-03,Colombia vs. Ghana,Colombia,Ghana,CO,GH,2026-07-03 00:00:00+00:00,2004.0,1575.0,1.0,0.0,polymarket_event_score,1.0,0.0,0.0,0.7628439559017688,0.172600178370134,0.06455586572809713,2026_results.tsv,Round of 32,2026-07-03,US,False,D-W-D-W-W,L-L-D-W,D 0-0 vs Switzerland (Jul 07) | W 1-0 vs Ghana (Jul 03) | D 0-0 vs Portugal (Jun 27) | W 1-0 vs DR Congo (Jun 23) | W 3-1 vs Uzbekistan (Jun 17),L 0-1 vs Colombia (Jul 03) | L 1-2 vs Croatia (Jun 27) | D 0-0 vs England (Jun 23) | W 1-0 vs Panama (Jun 17),False,,,,87,right,8,False
2026-07-04T21:00:00Z,fifwc-par-fra-2026-07-04,Paraguay vs. France,Paraguay,France,PY,FR,2026-07-04 00:00:00+00:00,1823.0,2134.0,0.0,1.0,polymarket_event_score,0.0,0.0,1.0,0.11242599355357812,0.2140288238237954,0.6735451826226265,2026_results.tsv,Round of 16,2026-07-04,US,False,L-D-D-W-L,W-W-W-W-W-W,L 0-1 vs France (Jul 04) | D 1-1 vs Germany (Jun 29) | D 0-0 vs Australia (Jun 25) | W 1-0 vs Turkey (Jun 19) | L 1-4 vs United States (Jun 12),W 2-0 vs Morocco (Jul 09) | W 1-0 vs Paraguay (Jul 04) | W 3-0 vs Sweden (Jun 30) | W 4-1 vs Norway (Jun 26) | W 3-0 vs Iraq (Jun 22) | W 3-1 vs Senegal (Jun 16),False,,,,89,left,1,False
2026-07-04T17:00:00Z,fifwc-can-mar-2026-07-04,Canada vs. Morocco,Canada,Morocco,CA,MA,2026-07-04 00:00:00+00:00,1764.0,1886.0,0.0,3.0,polymarket_event_score,0.0,0.0,1.0,0.24252129821865365,0.2679818709804313,0.48949683080091505,2026_results.tsv,Round of 16,2026-07-04,US,False,L-W-L-W-D,L-W-D-W-W-D,L 0-3 vs Morocco (Jul 04) | W 1-0 vs South Africa (Jun 28) | L 1-2 vs Switzerland (Jun 24) | W 6-0 vs Qatar (Jun 18) | D 1-1 vs Bosnia and Herzegovina (Jun 12),L 0-2 vs France (Jul 09) | W 3-0 vs Canada (Jul 04) | D 1-1 vs Netherlands (Jun 29) | W 4-2 vs Haiti (Jun 24) | W 1-0 vs Scotland (Jun 19) | D 1-1 vs Brazil (Jun 13),False,,,,90,left,2,False
2026-07-06T00:00:00Z,fifwc-mex-eng-2026-07-05,Mexico vs. England,Mexico,England,MX,EN,2026-07-05 00:00:00+00:00,1943.0,2046.0,2.0,3.0,polymarket_event_score,0.0,0.0,1.0,0.25937418616400937,0.27135153455148164,0.46927427928450904,2026_results.tsv,Round of 16,2026-07-05,,False,L-W-W-W-W,W-W-W-D-W,L 2-3 vs England (Jul 05) | W 2-0 vs Ecuador (Jun 30) | W 3-0 vs Czechia (Jun 24) | W 1-0 vs South Korea (Jun 18) | W 2-0 vs South Africa (Jun 11),W 3-2 vs Mexico (Jul 05) | W 2-1 vs DR Congo (Jul 01) | W 2-0 vs Panama (Jun 27) | D 0-0 vs Ghana (Jun 23) | W 4-2 vs Croatia (Jun 17),False,,,,92,right,2,False
2026-07-05T20:00:00Z,fifwc-bra-nor-2026-07-05,Brazil vs. Norway,Brazil,Norway,BR,NO,2026-07-05 00:00:00+00:00,2031.0,1934.0,1.0,2.0,polymarket_event_score,0.0,0.0,1.0,0.46286738802920085,0.2723090741758954,0.26482353779490386,2026_results.tsv,Round of 16,2026-07-05,US,False,L-W-W-W-D,W-W-L-W-W,L 1-2 vs Norway (Jul 05) | W 2-1 vs Japan (Jun 29) | W 3-0 vs Scotland (Jun 24) | W 3-0 vs Haiti (Jun 19) | D 1-1 vs Morocco (Jun 13),W 2-1 vs Brazil (Jul 05) | W 2-1 vs Ivory Coast (Jun 30) | L 1-4 vs France (Jun 26) | W 3-2 vs Senegal (Jun 22) | W 4-1 vs Iraq (Jun 16),False,,,,91,right,1,False
2026-07-06T19:00:00Z,fifwc-prt-esp-2026-07-06,Portugal vs. Spain,Portugal,Spain,PT,ES,2026-07-06 00:00:00+00:00,2013.0,2159.0,0.0,1.0,polymarket_event_score,0.0,0.0,1.0,0.22215285688573513,0.26303130109204886,0.514815842022216,2026_results.tsv,Round of 16,2026-07-06,US,False,L-W-D-W-D,W-W-W-W-D,L 0-1 vs Spain (Jul 06) | W 2-1 vs Croatia (Jul 02) | D 0-0 vs Colombia (Jun 27) | W 5-0 vs Uzbekistan (Jun 23) | D 1-1 vs DR Congo (Jun 17),W 1-0 vs Portugal (Jul 06) | W 3-0 vs Austria (Jul 02) | W 1-0 vs Uruguay (Jun 26) | W 4-0 vs Saudi Arabia (Jun 21) | D 0-0 vs Cape Verde (Jun 15),False,,,,93,left,3,False
