strategy,match_number,event_start_time,event_title,actual_outcome,selection_outcome,selection,bet_placed,pnl,cumulative_pnl
NO draw every match,2,2026-06-12T02:00:00Z,Korea Republic vs. Czechia,team1_win,draw,NO Draw,True,45.98540145985397,71.82872652015388
NO draw every match,3,2026-06-12T19:00:00Z,Canada vs. Bosnia-Herzegovina,draw,draw,NO Draw,True,-100.0,-28.17127347984612
NO draw every match,4,2026-06-13T01:00:00Z,United States vs. Paraguay,team1_win,draw,NO Draw,True,41.978230004732595,13.806956524886473
NO draw every match,5,2026-06-13T19:00:00Z,Qatar vs. Switzerland,draw,draw,NO Draw,True,-100.0,-86.19304347511353
NO draw every match,6,2026-06-13T22:00:00Z,Brazil vs. Morocco,draw,draw,NO Draw,True,-100.0,-186.19304347511354
NO draw every match,7,2026-06-14T01:00:00Z,Haiti vs. Scotland,team1_win,draw,NO Draw,True,26.085738302045392,-160.10730517306814
NO draw every match,8,2026-06-14T04:00:00Z,Australia vs. Türkiye,team1_win,draw,NO Draw,True,34.29829142729239,-125.80901374577574
NO draw every match,9,2026-06-14T17:00:00Z,Germany vs. Curaçao,team1_win,draw,NO Draw,True,4.13939636756,-121.66961737821575
NO draw every match,10,2026-06-14T20:00:00Z,Netherlands vs. Japan,draw,draw,NO Draw,True,-100.0,-221.66961737821575
NO draw every match,11,2026-06-14T23:00:00Z,Côte d'Ivoire vs. Ecuador,team1_win,draw,NO Draw,True,50.30687653960171,-171.36274083861403
NO draw every match,12,2026-06-15T02:00:00Z,Sweden vs. Tunisia,team1_win,draw,NO Draw,True,39.81125480601189,-131.55148603260216
NO draw every match,13,2026-06-15T16:00:00Z,Spain vs. Cabo Verde,draw,draw,NO Draw,True,-100.0,-231.55148603260216
NO draw every match,14,2026-06-15T19:00:00Z,Belgium vs. Egypt,draw,draw,NO Draw,True,-100.0,-331.55148603260216
NO draw every match,15,2026-06-15T22:00:00Z,Saudi Arabia vs. Uruguay,draw,draw,NO Draw,True,-100.0,-431.55148603260216
NO draw every match,16,2026-06-16T01:00:00Z,IR Iran vs. New Zealand,draw,draw,NO Draw,True,-100.0,-531.5514860326022
NO draw every match,17,2026-06-16T19:00:00Z,France vs. Senegal,team1_win,draw,NO Draw,True,27.388535031847127,-504.162951000755
NO draw every match,18,2026-06-16T22:00:00Z,Iraq vs. Norway,team1_win,draw,NO Draw,True,15.662650602409634,-488.5003003983454
NO draw every match,19,2026-06-17T01:00:00Z,Argentina vs. Algeria,team1_win,draw,NO Draw,True,26.733788636203638,-461.76651176214176
NO draw every match,20,2026-06-17T04:00:00Z,Austria vs. Jordan,team1_win,draw,NO Draw,True,23.490669593852907,-438.2758421682889
NO draw every match,21,2026-06-17T17:00:00Z,Portugal vs. DR Congo,draw,draw,NO Draw,True,-100.0,-538.2758421682888
NO draw every match,22,2026-06-17T20:00:00Z,England vs. Croatia,team1_win,draw,NO Draw,True,33.998362242239246,-504.2774799260496
NO draw every match,23,2026-06-17T23:00:00Z,Ghana vs. Panama,team1_win,draw,NO Draw,True,43.12408062656541,-461.1533992994842
NO draw every match,24,2026-06-18T02:00:00Z,Uzbekistan vs. Colombia,team1_win,draw,NO Draw,True,24.21931610365413,-436.93408319583006
NO draw every match,25,2026-06-18T16:00:00Z,Czechia vs. South Africa,draw,draw,NO Draw,True,-100.0,-536.93408319583
NO draw every match,26,2026-06-18T19:00:00Z,Switzerland vs. Bosnia-Herzegovina,team1_win,draw,NO Draw,True,30.70471626184512,-506.2293669339849
NO draw every match,27,2026-06-18T22:00:00Z,Canada vs. Qatar,team1_win,draw,NO Draw,True,20.623219969844197,-485.60614696414075
NO draw every match,28,2026-06-19T01:00:00Z,Mexico vs. Korea Republic,team1_win,draw,NO Draw,True,42.04265225196791,-443.5634947121728
NO draw every match,29,2026-06-19T19:00:00Z,United States vs. Australia,team1_win,draw,NO Draw,True,27.795527156549515,-415.76796755562333
NO draw every match,30,2026-06-19T22:00:00Z,Scotland vs. Morocco,team1_win,draw,NO Draw,True,36.05442176870748,-379.7135457869158
NO draw every match,31,2026-06-20T00:30:00Z,Brazil vs. Haiti,team1_win,draw,NO Draw,True,8.413652290313678,-371.2998934966022
NO draw every match,32,2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team1_win,draw,NO Draw,True,39.9199347040305,-331.37995879257164
NO draw every match,33,2026-06-20T17:00:00Z,Netherlands vs. Sweden,team1_win,draw,NO Draw,True,30.718954248366014,-300.66100454420564
NO draw every match,34,2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team1_win,draw,NO Draw,True,24.969625438261534,-275.6913791059441
NO draw every match,35,2026-06-21T00:00:00Z,Ecuador vs. Curaçao,draw,draw,NO Draw,True,-100.0,-375.69137910594407
NO draw every match,36,2026-06-21T04:00:00Z,Tunisia vs. Japan,team1_win,draw,NO Draw,True,26.769490809211916,-348.92188829673216
NO draw every match,37,2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team1_win,draw,NO Draw,True,8.108108108108091,-340.8137801886241
NO draw every match,38,2026-06-21T19:00:00Z,Belgium vs. IR Iran,draw,draw,NO Draw,True,-100.0,-440.8137801886241
NO draw every match,39,2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,draw,draw,NO Draw,True,-100.0,-540.8137801886242
NO draw every match,40,2026-06-22T01:00:00Z,New Zealand vs. Egypt,team1_win,draw,NO Draw,True,30.775937227550145,-510.0378429610739
NO draw every match,41,2026-06-22T17:00:00Z,Argentina vs. Austria,team1_win,draw,NO Draw,True,27.298444130127297,-482.73939883094664
NO draw every match,42,2026-06-22T21:00:00Z,France vs. Iraq,team1_win,draw,NO Draw,True,7.836089144500358,-474.9033096864463
NO draw every match,43,2026-06-23T00:00:00Z,Norway vs. Senegal,team1_win,draw,NO Draw,True,39.54570121714862,-435.3576084692977
